Compulsory University Requirements ( CHs 12)
11344	Advanced Topics in Internet Programming	3		Prerequisite: Webpage Design and Internet programming		
11347	Electronic Business	3		Prerequisite: Webpage Design and Internet programming		
11417	Compiler Design and Programming Languages	3		Prerequisite: Theory of Computation		
11436	Distributed Systems	3		Prerequisite: Data Communications & Computer Networks		
11446	Special Topic in Computer Science (2)	3				
11447	Wireless Networks and Applications	3		Prerequisite: Data Communications & Computer Networks		
12273	Computer Graphics	3		Prerequisite: Data Structures and Introduction to Algorithms		
12324	Human Computer Interaction	3		Prerequisite: Object Oriented Programming		
12348	Multimedia Systems	3		Prerequisite: Object Oriented Programming		
12446	Digital Image Processing	3		Prerequisite: Data Structures and Introduction to Algorithms		
13324	System Analysis And Design	3		Prerequisite: Software Engineering		
13334	Mobile Application Development	3		Prerequisite: Object Oriented Programming		
13432	Software Project Management	3		Prerequisite: System Analysis And Design		
20332	Operations Research	3		Prerequisite: Calculus (2)		
Hours remaining 9

Elective University Requirements (General) ( CHs 6)
Course Number	Course Title	Number of hours	Course Status	Prerequisite	Course Average	Course Result
20251	History of Science	3				
20252	Arab Islamic Scientific Heritage	3				
31100	Sports and Health	3				
31152	Arabic Islamic Civilization	3				
31161	Introduction to Library Science	3				
31211	Arabic Literature	3		Prerequisite: Arabic Language		
31252	Governance and Development	3				
31261	Introduction to Politics and Economic Science	3				
31262	Introduction to Educational Science	3				
31271	Environmental Science	3				
31351	Contemporary Issues in the Arab World	3				
31352	Jerusalem : History and Facts	3				
31361	Introduction to Philosophy	3				
31371	Health Education	3				
Hours remaining 6

Elective University Requirements (Scientific, Practical) ( CHs 9)
Course Number	Course Title	Number of hours	Course Status	Prerequisite	Course Average	Course Result
31130	Foreign languages	3				
31255	Entrepreneurship for Business	3		Finish 60 Hours		
31311	Scientific Research Methods	3	Registered			Not Confirmed
31372	Business Skills	3		Finish 60 Hours		
Hours remaining 9
